Genes with Zero Fragment:

pseudo_name pseudo_chr pseudo_strand pseudo_start pseudo_end pseudo_size pseudo_fragment pseudo_fpkm pseudo_primary_fragment pseudo_secondary_fragment parent_name parent_chr parent_strand parent_start parent_end parent_size parent_fragment parent_fpkm parent_primary_fragment parent_secondary_fragment pseudo_type
38 PGOHUM00000238368 chr10 - 20036100 20036363 264 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
67 PGOHUM00000238399 chr10 - 33312300 33312574 275 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Processed
72 PGOHUM00000238406 chr10 - 36721790 36723405 1616 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
73 PGOHUM00000238407 chr10 - 36723618 36724101 484 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
75 PGOHUM00000238409 chr10 - 37889723 37890295 573 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
85 PGOHUM00000263544 chr10 - 38739582 38740002 421 0 0 0 0 ENSP00000470663_ENST00000599140 chrHG736_PATCH - 56884714 56885556 648 0 0 0 0 Processed
88 PGOHUM00000238424 chr10 - 39054937 39055092 156 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
94 PGOHUM00000262831 chr10 - 42833371 42833687 317 0 0 0 0 ENSP00000456184_ENST00000562085 chrHG730_PATCH - 20506763 20535764 3351 0 0 0 0 Processed
112 PGOHUM00000262832 chr10 - 45689243 45693770 539 0 0 0 0 ENSP00000461662_ENST00000576555 chrHSCHR10_1_CTG5 - 45682909 45693770 693 0 0 0 0 Duplicated
122 PGOHUM00000238455 chr10 - 46719747 46733072 339 3 4.166625 3 0 ENSP00000343438_ENST00000342551 chrHG1211_PATCH - 46321041 46342920 2439 0 0 0 0 Duplicated
127 PGOHUM00000262844 chr10 - 47179562 47179882 321 0 0 0 0 ENSP00000462814_ENST00000582383 chrHG1211_PATCH - 46310875 46313035 586 0 0 0 0 Ambiguous
137 PGOHUM00000262845 chr10 - 49205699 49206019 321 0 0 0 0 ENSP00000462814_ENST00000582383 chrHG1211_PATCH - 46310875 46313035 586 0 0 0 0 Ambiguous
146 PGOHUM00000262846 chr10 - 51216265 51216669 405 0 0 0 0 ENSP00000462814_ENST00000582383 chrHG1211_PATCH - 46310875 46313035 586 0 0 0 0 Processed
175 PGOHUM00000238512 chr10 - 69769963 69770654 692 0 0 0 0 ENSP00000365419_ENST00000376243 chrHSCHR6_MHC_QBL - 31124568 31126509 1163 0 0 0 0 Processed
177 PGOHUM00000238513 chr10 - 70915051 70915182 132 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
182 PGOHUM00000238518 chr10 - 71349635 71350110 476 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
183 PGOHUM00000238519 chr10 - 71350359 71351017 659 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Processed
184 PGOHUM00000238520 chr10 - 71351164 71352686 1523 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
185 PGOHUM00000238521 chr10 - 71353775 71354687 913 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Processed
186 PGOHUM00000238522 chr10 - 71355242 71356191 950 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
255 PGOHUM00000238592 chr10 - 96523182 96534384 835 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Duplicated
256 PGOHUM00000238594 chr10 - 96700060 96701251 1192 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
270 PGOHUM00000238609 chr10 - 101817126 101817425 300 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Ambiguous
321 PGOHUM00000238664 chr10 + 2277882 2278054 173 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
338 PGOHUM00000238684 chr10 + 20036750 20037717 968 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Processed
